review_count,time
10000,0.7596390247344971
20000,0.8096611499786377
30000,1.0041260719299316
40000,1.3737266063690186
50000,1.5780136585235596
60000,1.9159061908721924
70000,2.3516578674316406
80000,2.4740138053894043
90000,2.745833396911621
100000,3.0346271991729736
